Player▲,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Antonio Reeves,24,NOP,SG,44,6,660,11.7,0.579,0.52,0.141,2.9,7.6,5.1,8.8,1.5,0.6,10.2,18.8,0.4,0,0.4,0.029,-1.2,-2,-3.2,-0.2,2.6,5.6,0.456,1.2,2.9,0.395,1.4,2.7,0.521,0.558,0.6,0.8,0.8,0.4,1,1.4,0.9,0.5,0.1,0.7,0.9,6.9
Naz Reid,25,MIN,C,80,17,2200,15.8,0.577,0.501,0.155,4.7,19.3,12.1,12.6,1.3,3,9.9,21.5,2.4,3.3,5.7,0.125,0.8,0.8,1.6,2,5.3,11.5,0.462,2.2,5.8,0.379,3.1,5.8,0.544,0.556,1.4,1.8,0.776,1.2,4.9,6,2.3,0.7,0.9,1.4,2.4,14.2
Jared Rhoden,25,2TM,SG,14,2,227,16.4,0.602,0.448,0.287,6.5,13.5,9.9,10.5,2.1,0.8,8.4,19.7,0.4,0.2,0.6,0.131,-0.5,0,-0.5,0.1,3,6.2,0.483,0.9,2.8,0.308,2.1,3.4,0.625,0.552,1.6,1.8,0.88,1,2,3,1.1,0.7,0.1,0.6,1.4,8.4
Nick Richards,27,2TM,C,57,43,1256,16.6,0.634,0.006,0.461,13.1,27.5,20.4,5.9,0.5,4.2,16.3,17.3,1.8,1.2,3,0.114,-2,-1.3,-3.3,-0.4,3.6,6.1,0.591,0,0,0,3.6,6.1,0.594,0.591,2.1,2.8,0.744,2.6,5.6,8.2,0.9,0.2,1,1.4,2.5,9.3
Josh Richardson,31,MIA,SG,8,0,150,4.4,0.402,0.579,0.105,4.5,4.4,4.4,10.5,2.7,0.6,16.8,14.1,-0.2,0.2,-0.1,-0.021,-7.3,0.6,-6.7,-0.2,1.4,4.8,0.289,0.8,2.8,0.273,0.6,2,0.313,0.368,0.5,0.5,1,0.8,0.8,1.5,1.5,1,0.1,1,2.1,4
Zaccharie Risacher,19,ATL,SF,75,73,1843,12.2,0.558,0.442,0.191,5,11.1,8,7.1,1.3,1.8,9.8,20.9,0.6,1.1,1.8,0.046,-1.7,-1.8,-3.5,-0.7,4.8,10.4,0.458,1.6,4.6,0.355,3.1,5.8,0.54,0.537,1.4,2,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2,12.6
Liam Robbins,25,MIL,C,13,0,57,2.6,0.363,0.25,1.25,13.9,9.2,11.4,4.2,1.7,3.3,32.6,14.2,-0.1,0.1,-0.1,-0.066,-9.2,-1.3,-10.5,-0.1,0.2,0.6,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.4,0.8,0.5,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7
Duncan Robinson,30,MIA,SF,74,37,1785,11.8,0.595,0.729,0.08,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,1.3,1.4,2.7,0.071,-0.7,-1.1,-1.7,0.1,3.9,9,0.437,2.6,6.5,0.393,1.4,2.4,0.556,0.581,0.6,0.7,0.887,0.2,2,2.3,2.4,0.5,0.1,1.2,1.8,11
Mitchell Robinson,26,NYK,C,17,3,290,20.4,0.676,0,0.339,20.8,19.2,20,5.9,2.7,5.8,13.4,11.1,0.8,0.5,1.3,0.221,1.5,1.8,3.3,0.4,2.2,3.3,0.661,0,0,,2.2,3.3,0.661,0.661,0.8,1.1,0.684,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,5.1
Orlando Robinson,24,2TM,C,44,8,770,12.9,0.519,0.199,0.268,12.1,18.7,15.4,14,1.1,2,14.4,18.5,0.4,0.8,1.2,0.072,-3,-0.4,-3.4,-0.3,2.6,5.9,0.444,0.4,1.2,0.327,2.3,4.8,0.474,0.477,1.2,1.6,0.771,2,3,5,1.8,0.4,0.4,1.1,2.3,6.9
